Participant_Number,2018-06-21,2018-07-04,2018-10-31,2018-11-01,2018-12-14,2019-04-13,2019-06-27,2019-06-28,2019-06-30,2019-07-01,2019-07-02,2019-07-03,2019-07-04,2019-07-06,2019-07-09,2019-07-10,2019-07-11,2019-07-12,2019-07-13,2019-08-22,2019-09-16,2019-09-26,2019-09-29,2019-10-05,2019-10-07,2019-10-08,2019-10-09,2019-10-10,2019-10-11,2019-10-17,2019-10-18,2019-10-19,2019-10-23,2019-11-26,2019-11-27,2019-11-28,2019-12-01,2019-12-03,2019-12-04,2019-12-05,2019-12-06,2019-12-07,2019-12-08,2019-12-09,2019-12-10,2019-12-11,2020-01-14,2020-01-15,2020-01-28,2020-01-30,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-08-26,2020-08-27,2020-08-28,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-23,2020-10-02,2020-10-14,2020-10-15,2020-10-16,2020-10-22,2020-10-23,2020-11-03
1.0,,,,,,,,,0.2355103654405824,,,-0.3715715803042209,,,-0.426760848099203,,,,,,,-0.07416274829792835,,-0.10175738219541944,,,,,,-0.4512894115636395,,,-0.28572160817869313,-0.14161629782512872,,,,0.008621153394544822,,,,,,,,,,,,,-0.34704301683978434,,,,,,,-0.4328929889653121,,,,,,,,-0.2887876786117477,,,,,,,,-0.37770372117032996,,,,,,-0.43289298896531214,,,,,,,,,,,,-0.45742155242974863,,0.07914077335479974,,,0.13433004114978184,,-0.2060037769192745
2.0,,,-0.4451572706975303,,-0.3654394394381117,,,,-0.009775269203782562,,,,,,0.18645323851170942,,,,,,,,,,,,,,,,,,,-0.45742155242974863,,,,-0.1109555934945831,,,,,,,,,,,,,-0.11402166392763767,,,,,,,0.32749247843221924,,,,,,,,0.022418470343290357,,,,,,,,-0.2918537490448022,,,,,,-0.27345732644647486,,,,,,,,,,,,0.17418895677949117,-0.426760848099203,-0.31025017164312957,,,-0.21213591778538365,,
3.0,,,,,-0.3961001437686574,-0.31025017164312957,-0.11402166392763766,,-0.33477873510756606,,,0.22937822457447332,,,0.38268174622720147,,,,,,,0.10366933681923621,,-0.07722881873098293,,,,,,,,,-0.22440019951760187,0.1067354072522908,,,,-0.2244001995176019,,,,,,,,,,,,,-0.29798588991091135,,,,,,,-0.328646594241457,,,,,,,,-0.04196900875085547,,,,,,,,-0.3838358620364391,,,,,,-0.07109667786487381,,,,,,,,,,,,,0.03314971685898128,-0.23053234038371098,,,-0.3347787351075661,,
4.0,,-0.18760735432094713,-0.31025017164312957,,,,,,-0.08949310046320115,,,,,,-0.27345732644647486,,,,,,-0.11402166392763766,-0.45742155242974863,,,,,,,,-0.11402166392763766,,,,0.1220657594175636,,,,0.12206575941756358,,,,,,,,,0.21098180197614588,,,,-0.27345732644647486,,,,,,,-0.08949310046320116,,,,,,,,0.11440058333492721,,,,,,,,-0.31025017164312957,,,,,,-0.13855022739207418,,,,,,,,,,,,,0.24777464717280062,0.1312639707167273,,,-0.3225144533753479,,-0.3961001437686574
5.0,,,,,,,-0.022039550936000803,,-0.21826805865149282,,,0.22937822457447327,,,-0.31025017164312957,,,,,,-0.18147521345483802,-0.4083644255008756,,,,,,,,,,,,-0.1630787908565106,,,,-0.05576632569960097,,,,,,,,,,,,,0.008621153394544803,,,,,,,-0.2489287629820384,,,,,,,,0.16958985112990935,,,,,,,,-0.15081450912429242,,,,,,-0.37770372117032996,,,,,,,,,,,,-0.2550609038481475,,-0.38076979160338453,,,-0.3347787351075661,,
6.0,,,-0.21826805865149274,,-0.2673251855803657,,0.02088543512676306,,0.24777464717280065,,,,,,-0.2734573264464749,,,,,,,-0.21213591778538365,,-0.3225144533753479,,,,,,-0.23666448124982015,,,,-0.1262859456598559,,,,-0.3593072985720026,,,,,,,,,0.10060326638618165,,,,0.0883389846539634,,,,,,,-0.2244001995176019,,,,,,,,-0.2019156830085351,,,,,,,,0.01475329426065393,,,,,,0.020885435126763052,,,,,,,,,,,,-0.20600377691927457,,-0.31944838294229333,,,-0.22133412908454736,,0.46546564791967454
7.0,,,,,,,-0.3041180307770205,,0.7812709025242944,,,0.3213603375661101,,,0.11899968898450905,,,,,,0.09447112552007256,,,,,,,,,-0.16921093172261978,,,-0.3041180307770205,-0.132418086525965,,,,-0.09255917089625575,,,,,,,,,,,,,-0.3593072985720026,,,,,,,-0.33477873510756606,,,,,,,,0.22324608370836413,,,,,,,,0.11899968898450904,,,,,,-0.07109667786487382,,,,,,,,,,,,-0.4022322846347665,-0.11402166392763768,0.3550871123297103,,,-0.17840914302178343,,-0.34091087597367525
8.0,,-0.43289298896531214,-0.41449656636698473,,0.3029639149677828,0.027017575992872182,,,-0.31638231250923876,,,,,,-0.28572160817869313,,,,,,,,,,,,,,,-0.29798588991091135,,,-0.32251445337534784,-0.14468236825818329,,,,-0.1753430725887289,,,,,,,,,0.29069963323556447,,,,-0.24892876298203834,,,,,,,-0.0710966778648738,,,,,,,,-0.055766325699600994,,,,,,,,0.4378710140221834,,,,,,0.11899968898450905,,,,,,,,,,,,0.26617106977112803,0.6954209303987666,-0.0036431283376734203,,,-0.29491981947785684,,
9.0,,,-0.0956252413293103,,,,-0.3654394394381117,,-0.32251445337534784,,,,,,0.07607470292174516,,,,,,,,,,,,,,,0.1987175202439277,,,0.17418895677949117,0.04541399859119956,,,,-0.1753430725887289,,,,,,,,,0.057678280323417826,,,,0.16192467504727293,,,,,,,0.1987175202439276,,,,,,,,-0.01795145702526138,,,,,,,,-0.2673251855803658,,,,,,0.3888138870933105,,,,,,,,,,,,0.3765496053610923,-0.015907410069891676,-0.046568114400437274,,,-0.279589467312584,,-0.2550609038481475
10.0,-0.3899680029025482,,,,,,0.020885435126763052,,0.20484966111003677,,,-0.3593072985720026,,,0.5666459722104751,,,,,,,0.664760226068221,,,,,,,,-0.08336095959709207,,,0.16192467504727287,-0.03430383266821905,,,,-0.25812697428120207,,,,,,,,,-0.4512894115636395,,,,0.06994256205563608,,,,,,,-0.18760735432094716,,,,,,,,0.07300863248869063,,,,,,,,-0.23666448124982015,,,,,,0.06994256205563605,,,,,,,,,,,,0.24777464717280065,,0.14352825244894554,,,-0.012841339636837102,,0.0822068437878543
