Question,Bridge_Centrality
LSAS_1,0
LSAS_2,2
LSAS_3,0
LSAS_4,0
LSAS_5,1
LSAS_7,0
LSAS_8,0
LSAS_9,0
LSAS_10,0
LSAS_11,1
LSAS_12,1
LSAS_14,0
LSAS_16,0
LSAS_17,0
LSAS_18,0
LSAS_19,2
LSAS_20,0
LSAS_22,0
LSAS_23,0
LSAS_24,0
LSAS_6,0
LSAS_15,0
LSAS_21,0
CFS_2,2
CFS_3,10
CFS_10,3
LSAS_13,0
CFS_1,0
CFS_4,0
CFS_6,0
CFS_7,0
CFS_9,0
CFS_12,4
CFS_5,0
BDI_2,2
BDI_3,2
BDI_6,1
BDI_13,2
CFS_8,0
CFS_11,0
BDI_7,1
BDI_1,0
BDI_4,0
BDI_5,0
BDI_8,0
BDI_9,0
BDI_10,0
BDI_11,0
BDI_12,0
BDI_14,0
BDI_16,0
BDI_17,0
BDI_18,0
BDI_19,0
BDI_15,0
BDI_20,0
