"Node","Bridge_Strength","Bridge_Betweenness"
"BDI_1",0.0228978273471028,45
"BDI_2",0.0840194812552564,0
"BDI_3",0.134274342030815,24
"BDI_4",0.0310357968336743,49
"BDI_5",0.144798650127534,3
"BDI_6",0.247444066644677,60
"BDI_7",0.121685305988121,96
"BDI_8",0.0854083077609562,47
"BDI_9",0.112675723119455,31
"BDI_10",0.102122252023692,14
"BDI_11",0.0503888616185936,90
"BDI_12",0.153854897897325,60
"BDI_13",0.248028629170872,94
"BDI_14",0.00335926203962076,2
"BDI_15",0.0486498043089002,17
"BDI_16",0.0693507768127682,57
"BDI_17",0.0760395108683384,42
"BDI_18",0.117598070044713,94
"BDI_19",0.0954608832134954,13
"BDI_20",0.0419499961928436,0
"CFS_1",0.142337208591422,73
"CFS_2_R",0.493333197425153,39
"CFS_3_R",0.349551732902383,56
"CFS_4",0.0669774694945197,20
"CFS_5_R",0.227000850876882,57
"CFS_6",0.0365235591600206,38
"CFS_7",0.0431938416218902,22
"CFS_8",0.15233813376971,20
"CFS_9",0.0104927185890196,27
"CFS_10_R",0.24606145875912,68
"CFS_11",0.137645562860003,0
"CFS_12",0.379445584394085,221
"LSAS_1",0.0807334984715546,4
"LSAS_2",0.139348851440424,26
"LSAS_3",0.0769564022622248,39
"LSAS_4",0.0936563303438814,35
"LSAS_5",0.113499897626538,22
"LSAS_6",0.0576341420817349,10
"LSAS_7",0.0515581216510492,74
"LSAS_8",0.118390435796668,68
"LSAS_9",0.0235427186942694,34
"LSAS_10",0.026441758166048,11
"LSAS_11",0.0548475926813219,31
"LSAS_12",0.209874728652824,89
"LSAS_13",0.154493578821606,51
"LSAS_14",0.114470887942473,65
"LSAS_15",0.149021976113924,55
"LSAS_16",0.101835985844403,91
"LSAS_17",0.17211375098999,16
"LSAS_18",0.153367829843156,2
"LSAS_19",0.171293168986969,43
"LSAS_20",0.083736580883232,16
"LSAS_21",0.0305033743751925,7
"LSAS_22",0.0561335241236665,1
"LSAS_23",0.12677539769528,83
"LSAS_24",0.0556667227452223,12
