"Node","Bridge_Strength","Bridge_Betweenness"
"BDI_1",0.0154173090532967,28
"BDI_2",0.0873654284900219,32
"BDI_3",0.161365312695796,194
"BDI_4",0.0839057760266508,15
"BDI_5",0.0591504850472191,2
"BDI_6",0.118600681475289,64
"BDI_7",0.0375518925707286,41
"BDI_8",0.092553716997036,73
"BDI_9",0.0326802221616975,5
"BDI_10",0.0672853406557556,57
"BDI_11",0.184823291023609,74
"BDI_12",0.0870979841343253,109
"BDI_13",0.077792931925426,51
"BDI_14",0.0789228910832607,20
"BDI_15",0.170627247293906,132
"BDI_16",0.0583297115232739,10
"BDI_17",0.167601802370732,27
"BDI_18",0.091948685700265,30
"BDI_19",0.0302550131950436,36
"BDI_20",0.0956518461784961,0
"CFS_1",0.0597781075997298,36
"CFS_2_R",0.435936141330133,43
"CFS_3_R",0.268414752260537,219
"CFS_4",0.136696977506507,29
"CFS_5_R",0.117473005813806,67
"CFS_6",0.0820257053270106,8
"CFS_7",0.00724602038444027,26
"CFS_8",0.0245657967803741,4
"CFS_9",0.106345261960751,6
"CFS_10_R",0.220526872231591,97
"CFS_11",0,5
"CFS_12",0.249949988086444,87
"LSAS_1",0.0786899794036199,29
"LSAS_2",0.105421761464405,16
"LSAS_3",0.0651739187648025,16
"LSAS_4",0.0875634876972166,53
"LSAS_5",0.101669334929982,118
"LSAS_6",0.115627049123489,50
"LSAS_7",0.0821679186982227,71
"LSAS_8",0.16724217469187,41
"LSAS_9",0.0696595217919667,18
"LSAS_10",0.0114609161033489,56
"LSAS_11",0.146745676864853,74
"LSAS_12",0.132062424123162,67
"LSAS_13",0.0814077497896392,9
"LSAS_14",0.118202110961443,76
"LSAS_15",0.136177881724362,54
"LSAS_16",0.0601446986432211,45
"LSAS_17",0.0897463572200163,0
"LSAS_18",0.0332638179503037,2
"LSAS_19",0.113371257006456,18
"LSAS_20",0.0742788820323817,4
"LSAS_21",0.0241647745811162,0
"LSAS_22",0.19279175705878,70
"LSAS_23",0.0934907445023628,81
"LSAS_24",0.0457927091555918,4
