Cause,Effect,Lag 1 p-value,Lag 2 p-value,Lag 3 p-value
CFS_7,BDI_1,5.9804246632356206e-05,0.0037076316450251412,0.029477027522271878
CFS_6,BDI_13,7.171609463163951e-05,0.0004970777031554134,0.0007632925538246535
CFS_6,BDI_1,0.00011475904762251761,0.0009182549065496175,0.002850503580407701
CFS_1,BDI_11,0.00014126970881467307,0.0014800530969564703,0.027029188857947795
CFS_6,BDI_5,0.00024228520674623595,0.0003336101292292768,1.0374448187688204e-06
CFS_7,BDI_13,0.0003497133257909065,0.003108386416686249,0.016817761746629446
CFS_7,BDI_6,0.0003513822559170146,0.006539675793201795,0.043921831796066124
BDI_20,LSAS_1,0.0004899186699501699,0.05528206756706718,0.025921265098990596
CFS_7,BDI_8,0.0006579831961803128,0.001564131419605666,0.0013464678876026369
CFS_7,BDI_5,0.0010083661485334623,0.01417070308249855,0.016805426156417853
CFS_1,BDI_20,0.001077276514465624,0.001850972127270916,0.003051364342148663
CFS_6,BDI_18,0.0012675877425581902,0.0038838500147217185,0.0003309251113566592
CFS_1,BDI_1,0.0013213070070071525,0.0006560824768070704,0.0030194922125430655
CFS_6,BDI_3,0.0014522048417766934,0.0025282035475313884,0.005910697551687503
CFS_9,BDI_12,0.002415323811883818,0.0035952110993093486,0.0041770356377588405
CFS_12,LSAS_19,0.00262196694124732,0.0063379701907907765,0.05052723065377165
CFS_7,BDI_18,0.0026423247468074225,0.022767644876225356,0.09965991813131005
CFS_11,BDI_12,0.002724385974241336,0.012922267251049644,0.018142858792622
CFS_6,BDI_6,0.0030796358907183886,0.006834826771670069,0.0022343872367196426
CFS_7,BDI_3,0.003301878529788784,0.014210198759845015,0.00869728351376097
CFS_5_R,BDI_12,0.003347857720450542,0.025648926070379163,0.01745932654910197
CFS_6,BDI_19,0.0033889423975565964,0.016723039178822157,0.0178191180126358
CFS_1,BDI_6,0.003510095484572883,0.008046901112363492,0.011845584029275963
CFS_7,BDI_12,0.003549586966876649,0.014202753751688555,0.06490989741097596
CFS_1,BDI_16,0.0037352463282229738,0.05398161323320914,0.27542530030195655
CFS_2_R,LSAS_22,0.004230014713632651,0.014310607518498603,0.5351780513946163
BDI_19,LSAS_6,0.004311863656346027,0.03707963834372971,0.06415139152422669
CFS_9,BDI_8,0.004521326613494525,0.019060376910661637,0.044150333210238604
CFS_11,LSAS_16,0.004529056566466033,0.007192738178291908,0.04640246697020534
CFS_6,BDI_7,0.004677022512837984,0.006021124713337179,0.005848909235387483
CFS_6,LSAS_18,0.004809779513669757,0.004148453449112345,0.01658003631691205
CFS_6,BDI_14,0.005059146300408325,0.02919094896034262,0.007270890951310206
BDI_14,LSAS_6,0.005939070152839161,0.019376549977439685,0.005487254521038694
BDI_14,LSAS_16,0.006015776853062549,0.03844824629610868,0.038819146155111374
CFS_7,LSAS_18,0.006211491078587405,0.038546025763770246,0.19035254676035876
CFS_9,BDI_16,0.0063366043289200735,0.015531886903710379,0.0417326344197483
CFS_7,BDI_7,0.006348310058002588,0.027282989018996454,0.02838239836435263
CFS_12,BDI_11,0.00669934646545276,0.057182344042204916,0.5449354908996502
CFS_12,BDI_20,0.006721936393947533,0.017462970924791443,0.15511043887474857
BDI_14,LSAS_20,0.006791030284378137,0.04532774026553224,0.057835421272759494
CFS_1,BDI_18,0.006960438786378357,0.00266375374484995,0.000351388089918272
CFS_1,BDI_8,0.007265936892820595,0.011201541663405187,0.004730220337679171
CFS_7,BDI_19,0.007844797766079412,0.12568996627462214,0.11656627557680344
CFS_7,BDI_4,0.008051887231134706,0.04194296958948525,0.0675134935839149
CFS_1,BDI_17,0.009792935442532133,0.01043847698374011,0.008520883509612559
BDI_14,LSAS_7,0.010437475465936721,0.06054936539629992,0.20949766527787547
CFS_1,BDI_4,0.010609740873492719,0.0287703994425003,0.005888577236448523
CFS_11,BDI_4,0.011083025492998874,0.034496007693138986,0.05180610671920561
CFS_7,BDI_14,0.011315826411372255,0.06001255569345959,0.009543240466028752
BDI_14,LSAS_15,0.01166187434550476,0.03051429403657428,0.0297250231883744
CFS_6,BDI_17,0.01278168014685636,0.022083752760657577,0.04559270866559516
CFS_11,BDI_1,0.012958372084219585,0.01827294296094551,0.05176430537125352
CFS_1,BDI_12,0.013649807896848365,0.01272896604803485,0.0003815801301097998
CFS_2_R,LSAS_13,0.014159588295563344,0.0330799191610277,0.6316232152509773
CFS_4,LSAS_2,0.014406056235531135,0.08439977093789222,0.2790733032260056
CFS_5_R,BDI_8,0.014541849587735132,0.0731903242800519,0.16070968588392343
BDI_17,LSAS_2,0.014800437536966944,0.033248083941437856,0.21583845857645056
CFS_1,BDI_7,0.015123790354399369,0.0012161519345247572,0.003418298600206627
CFS_4,BDI_11,0.0151304866301047,0.10395782116078459,0.2903225411709954
BDI_17,LSAS_20,0.015331563289427311,0.04240533501518881,0.23117034667897998
BDI_14,LSAS_23,0.01585527481872841,0.0585341924760793,0.2207339295704871
CFS_12,LSAS_2,0.01822895815684577,0.0682351845194523,0.35549237963782887
CFS_1,BDI_14,0.018409691944967787,0.03113053003480974,0.008154422752869789
CFS_7,LSAS_9,0.018600340999846324,0.018464970291061686,0.06099121895088089
CFS_4,BDI_17,0.01867574493063936,0.04075383982215108,0.010456617465994442
CFS_11,BDI_18,0.019508808909683005,0.05166553224757965,0.05528338140112392
CFS_6,LSAS_17,0.020388890586047793,0.10047885499029707,0.007502260757279551
CFS_7,BDI_11,0.02086234752827795,0.025385092737947278,0.03390511196294612
CFS_7,LSAS_16,0.021636289700204557,0.05662774955095085,0.07026137172424482
BDI_18,LSAS_6,0.02228929556646343,0.12273180470092045,0.46801710453085543
CFS_7,LSAS_17,0.023531996002484297,0.19588282874210566,0.25038906622773005
CFS_6,BDI_4,0.025166139945553164,0.14684413514203654,0.09576322054576827
CFS_10_R,LSAS_23,0.02556481892742985,0.5074348694663177,0.9185324021334615
CFS_12,LSAS_22,0.025598280233852053,0.17862332966373623,0.5443900435998518
BDI_17,LSAS_6,0.02689894893600601,0.01700266712882446,0.16411802137478623
BDI_19,LSAS_23,0.027001474902194195,0.13042098237704583,0.2717008179875626
CFS_12,BDI_17,0.027612194773190626,0.10083253087197552,0.1911654746895504
BDI_19,LSAS_2,0.029398462362888903,0.2199092997997468,0.42566082840449754
CFS_6,LSAS_8,0.029646297286123016,0.012552473844176452,0.033392460804392676
CFS_12,LSAS_13,0.030685100867619417,0.13352145928025608,0.5319987166597235
BDI_3,LSAS_2,0.03122029610534976,0.1573612486435146,0.2776603052148481
CFS_11,BDI_17,0.031353077591437364,0.033328974206368406,0.059425396450287854
CFS_4,LSAS_17,0.03200165731633423,0.09875723567503884,0.01806265152587053
CFS_9,BDI_20,0.032983111615870336,0.007865745089454562,0.015016635031161598
BDI_19,LSAS_7,0.0332688164577884,0.10776797186113912,0.3486651084870957
