Cause,Effect,Lag 1 p-value,Lag 2 p-value,Lag 3 p-value
CFS7,BDI1,5.980424663235653e-05,0.0037076316450252,0.0294770275222717
CFS6,BDI13,7.171609463163803e-05,0.0004970777031554,0.0007632925538246
CFS6,BDI1,0.0001147590476225,0.0009182549065496,0.0028505035804077
CFS1,BDI11,0.0001412697088146,0.0014800530969564,0.0270291888579476
CFS6,BDI5,0.0002422852067462,0.0003336101292292,1.0374448187687575e-06
CFS7,BDI13,0.0003497133257909,0.0031083864166863,0.0168177617466292
CFS7,BDI6,0.000351382255917,0.0065396757932019,0.0439218317960651
BDI20,LSAS_1,0.0004899186699501,0.0552820675670671,0.0259212650989905
CFS7,BDI8,0.0006579831961803,0.0015641314196057,0.0013464678876026
CFS7,BDI5,0.0010083661485334,0.0141707030824985,0.0168054261564171
CFS1,BDI20,0.0010772765144656,0.0018509721272708,0.0030513643421488
CFS6,BDI18,0.0012675877425581,0.0038838500147217,0.0003309251113566
CFS1,BDI1,0.0013213070070071,0.000656082476807,0.0030194922125431
CFS6,BDI3,0.0014522048417767,0.0025282035475313,0.0059106975516875
CFS9,BDI12,0.0024153238118838,0.0035952110993093,0.0041770356377588
CFS12,LSAS_19,0.0026219669412473,0.0063379701907909,0.0505272306537721
CFS7,BDI18,0.0026423247468074,0.0227676448762261,0.0996599181313073
CFS11,BDI12,0.0027243859742412,0.0129222672510493,0.0181428587926207
CFS6,BDI6,0.0030796358907183,0.00683482677167,0.0022343872367195
CFS7,BDI3,0.0033018785297887,0.0142101987598451,0.0086972835137607
CFS5_R,BDI12,0.0033478577204505,0.0256489260703792,0.0174593265491016
CFS6,BDI19,0.0033889423975565,0.0167230391788222,0.0178191180126356
CFS1,BDI6,0.0035100954845728,0.0080469011123637,0.0118455840292761
CFS7,BDI12,0.0035495869668767,0.0142027537516888,0.0649098974109751
CFS1,BDI16,0.003735246328223,0.0539816132332102,0.2754253003019547
CFS2_R,LSAS_22,0.0042300147136326,0.0143106075184986,0.5351780513946086
BDI19,LSAS_6,0.004311863656346,0.0370796383437297,0.0641513915242268
CFS9,BDI8,0.0045213266134945,0.0190603769106616,0.0441503332102392
CFS11,LSAS_16,0.0045290565664658,0.0071927381782916,0.0464024669702045
CFS6,BDI7,0.0046770225128379,0.0060211247133371,0.0058489092353876
CFS6,LSAS_18,0.0048097795136697,0.0041484534491123,0.0165800363169112
CFS6,BDI14,0.0050591463004083,0.0291909489603428,0.0072708909513098
BDI14,LSAS_6,0.0059390701528391,0.0193765499774397,0.0054872545210386
BDI14,LSAS_16,0.0060157768530625,0.0384482462961085,0.0388191461551111
CFS7,LSAS_18,0.0062114910785874,0.0385460257637707,0.1903525467603549
CFS9,BDI16,0.0063366043289201,0.0155318869037107,0.041732634419749
CFS7,BDI7,0.0063483100580026,0.0272829890189975,0.0283823983643527
CFS12,BDI11,0.0066993464654527,0.0571823440422053,0.5449354908996524
CFS12,BDI20,0.0067219363939475,0.0174629709247914,0.1551104388747489
BDI14,LSAS_20,0.0067910302843781,0.0453277402655322,0.0578354212727595
CFS1,BDI18,0.0069604387863784,0.0026637537448499,0.0003513880899182
CFS1,BDI8,0.0072659368928206,0.0112015416634051,0.0047302203376793
CFS7,BDI19,0.0078447977660795,0.125689966274626,0.1165662755768032
CFS7,BDI4,0.0080518872311348,0.0419429695894862,0.0675134935839138
CFS1,BDI17,0.009792935442532,0.0104384769837399,0.0085208835096123
BDI14,LSAS_7,0.0104374754659367,0.0605493653962999,0.2094976652778754
CFS1,BDI4,0.0106097408734928,0.0287703994425003,0.0058885772364486
CFS11,BDI4,0.0110830254929985,0.0344960076931381,0.0518061067192052
CFS7,BDI14,0.0113158264113722,0.0600125556934611,0.0095432404660293
BDI14,LSAS_15,0.0116618743455047,0.0305142940365743,0.0297250231883743
CFS6,BDI17,0.0127816801468563,0.0220837527606575,0.0455927086655948
CFS11,BDI1,0.012958372084219,0.0182729429609449,0.0517643053712546
CFS1,BDI12,0.0136498078968483,0.012728966048035,0.0003815801301098
CFS2_R,LSAS_13,0.0141595882955634,0.0330799191610281,0.631623215250979
CFS4,LSAS_2,0.0144060562355311,0.084399770937891,0.2790733032260057
CFS5_R,BDI8,0.0145418495877351,0.0731903242800511,0.1607096858839199
BDI17,LSAS_2,0.0148004375369669,0.0332480839414378,0.2158384585764499
CFS1,BDI7,0.0151237903543993,0.0012161519345247,0.0034182986002067
CFS4,BDI11,0.0151304866301043,0.1039578211607845,0.2903225411709978
BDI17,LSAS_20,0.0153315632894272,0.0424053350151886,0.2311703466789799
BDI14,LSAS_23,0.0158552748187283,0.0585341924760789,0.2207339295704866
CFS12,LSAS_2,0.018228958156846,0.0682351845194529,0.3554923796378317
CFS1,BDI14,0.0184096919449681,0.0311305300348092,0.0081544227528694
CFS7,LSAS_9,0.0186003409998466,0.0184649702910621,0.0609912189508786
CFS4,BDI17,0.0186757449306393,0.0407538398221514,0.0104566174659944
CFS11,BDI18,0.0195088089096825,0.0516655322475782,0.0552833814011217
CFS6,LSAS_17,0.0203888905860475,0.1004788549902966,0.0075022607572791
CFS7,BDI11,0.0208623475282782,0.0253850927379482,0.033905111962946
CFS7,LSAS_16,0.0216362897002043,0.0566277495509504,0.0702613717242432
BDI18,LSAS_6,0.0222892955664634,0.1227318047009204,0.4680171045308554
CFS7,LSAS_17,0.0235319960024842,0.1958828287421058,0.2503890662277246
CFS6,BDI4,0.0251661399455527,0.1468441351420365,0.0957632205457669
CFS10_R,LSAS_23,0.0255648189274305,0.5074348694663205,0.9185324021334608
CFS12,LSAS_22,0.0255982802338521,0.1786233296637364,0.5443900435998511
BDI17,LSAS_6,0.0268989489360061,0.0170026671288245,0.1641180213747855
BDI19,LSAS_23,0.0270014749021941,0.1304209823770454,0.271700817987562
CFS12,BDI17,0.0276121947731907,0.1008325308719773,0.1911654746895527
BDI19,LSAS_2,0.029398462362889,0.2199092997997482,0.4256608284044975
CFS6,LSAS_8,0.029646297286123,0.0125524738441763,0.0333924608043921
CFS12,LSAS_13,0.0306851008676195,0.1335214592802565,0.5319987166597269
BDI3,LSAS_2,0.0312202961053497,0.1573612486435146,0.2776603052148466
CFS11,BDI17,0.0313530775914362,0.0333289742063675,0.0594253964502883
CFS4,LSAS_17,0.0320016573163342,0.0987572356750372,0.0180626515258703
CFS9,BDI20,0.0329831116158706,0.0078657450894544,0.0150166350311616
BDI19,LSAS_7,0.0332688164577885,0.1077679718611392,0.3486651084870955
CFS6,LSAS_5,0.0339065099980132,0.1866499689497918,0.1869794567894288
CFS4,BDI6,0.0341157814632315,0.1892098345280709,0.0519925227986059
CFS4,BDI1,0.034676911722144,0.2251206184309327,0.3776459382240748
CFS6,LSAS_9,0.0347668673698486,0.020764687774596,0.0041448910306409
CFS6,BDI12,0.0348156894417952,0.0323667781854045,0.0001690897832822
CFS11,BDI6,0.0359124619734358,0.0578376928635069,0.0248476947638638
BDI4,LSAS_6,0.0359555445677317,0.113488291597446,0.3502269338361105
CFS1,BDI19,0.0365463932039086,0.0350443274181242,0.0012632383679856
BDI20,LSAS_20,0.0371160903616957,0.0005358125844834,0.0121911738135337
CFS7,BDI17,0.0377430861409262,0.1250893109863853,0.2719666830993814
CFS8,BDI4,0.038123136508933,0.0441721981022475,0.1528480327211483
CFS6,BDI11,0.038660141319696,0.0369777866824576,0.0579338731794936
BDI14,LSAS_2,0.0387405317156034,0.1809874276383898,0.5257062484575736
CFS8,BDI16,0.0394436430177395,0.3012095920577151,0.3895898767147483
BDI17,LSAS_21,0.0395715160364654,0.0335399084093653,0.1082125714534696
CFS2_R,BDI11,0.0397752410190456,0.0054877250094844,0.2299412860260777
BDI14,LSAS_4,0.0398888415843318,0.1290391486328166,0.3904724590343947
BDI3,LSAS_4,0.0399254212876536,0.1557228222435525,0.1598022379542089
CFS6,LSAS_10,0.0402892647787533,0.0147224079646155,0.0160134840219763
CFS8,BDI8,0.0405491636373763,0.1005401817299896,0.0769095756097483
BDI12,LSAS_13,0.0410854307748886,0.0224530279910199,0.367278653929006
CFS6,BDI8,0.0411841298281592,0.007166012945994,0.0015443958403607
CFS8,BDI12,0.041998812879313,0.0348835378642968,0.0518370686896215
BDI1,LSAS_13,0.0430939836428431,0.1848689812771634,0.1121860772075106
CFS11,BDI2,0.0434624703337992,0.1553340968098258,0.5057798386649927
CFS6,LSAS_1,0.045145802083066,0.171655068944859,0.1111897582824465
CFS12,LSAS_21,0.0454422945631016,0.0664584243954366,0.0262930679229156
BDI8,LSAS_13,0.0467488499277035,0.0389766531887832,0.0662511601810861
CFS10_R,LSAS_15,0.0479062532531156,0.5758936044439344,0.7376693043373928
CFS1,LSAS_17,0.0484022990174515,0.0761063532674549,0.1093168449614346
BDI15,LSAS_23,0.0487766048357886,0.2157138182343384,0.5621243762589901
CFS7,LSAS_24,0.0491897927124894,0.0858544464097514,0.2861990091858124
CFS9,BDI4,0.0493422649983523,0.0452330499716987,0.1343452142916408
CFS8,BDI20,0.0495074683022919,0.1188393132997654,0.0450967165462785
CFS9,BDI6,0.0497169041336724,0.0437260829610446,0.1278026696543615
BDI9,LSAS_1,0.0498662278196786,0.0555382641656791,0.1720232591608925
CFS6,LSAS_21,0.0507701070259411,0.0255362079485109,0.050283233025748
CFS2_R,LSAS_19,0.0510623730184335,0.0103268882497195,0.4541455976807161
BDI18,LSAS_13,0.0530730255446797,0.0486874325259674,0.0077464695269052
CFS8,BDI1,0.0560581207273413,0.0082635973480234,0.058225411781939
CFS4,BDI5,0.0573618289936984,0.1278414870100609,0.0041010345426423
CFS1,BDI3,0.0573641950171866,0.0008323039593007,0.0016322279734095
CFS11,BDI13,0.0576351686939951,0.0679232336555729,0.020002418477168
BDI5,LSAS_13,0.0587417128607483,0.0694366317834861,0.048114338796781
CFS11,BDI14,0.059593008852563,0.0188451918117214,0.0599896711134802
CFS11,LSAS_18,0.0626859724914839,0.0677038000306309,0.0485928953667704
CFS8,LSAS_16,0.0657563702508557,0.0019391696411846,0.0115234157046307
CFS11,LSAS_11,0.0724925719709909,0.0463674423123374,0.032651695779179
BDI17,LSAS_19,0.0725259217197577,0.0236780846181579,0.2756741148135496
CFS11,BDI8,0.0765043809491891,0.1878081128176234,0.0149088818687668
CFS10_R,BDI8,0.0771871785320719,0.027817142103145,0.1417584480303364
CFS1,BDI13,0.0773900771186374,0.0036618131191662,0.0029164130111245
CFS4,LSAS_18,0.0774651065226436,0.0167084528761956,0.0050577798384686
BDI10,LSAS_17,0.0776580578559813,0.0222471792523168,0.0278159470374511
BDI9,LSAS_17,0.0862910707015384,0.194586344813106,0.0137170089427576
CFS9,BDI18,0.0869857653732214,0.0085201085723972,0.0353073447146912
CFS1,LSAS_18,0.0889877286958124,0.0055035012913935,0.003658267857625
BDI14,LSAS_18,0.0894494531520004,0.3008598985698365,0.0184087221310693
CFS9,BDI1,0.0923798273424784,0.0090433620422765,0.0027845927213891
CFS4,BDI3,0.106790277949834,0.0705460183886801,0.0263340331430952
CFS6,LSAS_16,0.1132276591686867,0.1796338314364885,0.005822580303093
BDI17,LSAS_23,0.115287061876757,0.0395517163047272,0.143190624542193
CFS7,LSAS_11,0.1169408187320452,0.0256722754527187,0.0176910299905045
CFS11,BDI20,0.1240753805401541,0.0106854223871273,0.0070994761387857
CFS9,LSAS_11,0.1289877718675889,0.0368228603082966,0.1478289399891311
CFS1,BDI5,0.1334711024605187,0.0046866030882195,0.0006225801856109
CFS8,LSAS_11,0.1397851346535261,0.0071868853676594,0.0127900637637703
CFS1,LSAS_9,0.1480855094650804,0.0651550151704968,0.0309281293310771
CFS11,BDI7,0.1516958124107291,0.2110307006892699,0.0208588314483597
CFS11,BDI3,0.1540258673760712,0.1932431242615207,0.0055201288149699
CFS1,LSAS_8,0.1558076782837486,0.009124405666809,0.0261402296717292
CFS4,BDI13,0.15805510861917,0.2383243973902084,0.0363373463854207
CFS8,BDI14,0.1600156028397066,0.0103492671733375,0.0640415418675494
BDI5,LSAS_1,0.1618082660941684,0.0323596499824032,0.0050624049371532
CFS7,LSAS_1,0.1695067895886925,0.6392675013661556,0.026369638746435
CFS9,LSAS_20,0.1738777110860117,0.0169126302378088,0.0163038556059198
CFS8,LSAS_13,0.1900165542077186,0.0174151603860526,0.0302208573940109
BDI10,LSAS_16,0.1910751316922219,0.0127487210044539,0.0303995313414776
BDI3,LSAS_13,0.1986767931259024,0.1066154946159441,0.0131241006417878
CFS11,BDI5,0.1996294266364662,0.2441919609421231,0.015830056487607
CFS12,BDI5,0.205385535371966,0.2531804831931197,0.0219286096592008
CFS12,LSAS_8,0.2100480535330254,0.0255457796472499,0.0110613190497999
CFS11,LSAS_10,0.2102030069172397,0.1834662404440149,0.0125096192180476
